valg,fylke,partikode,partinavn,kandidatnr,navn,bosted,stilling,fødselsår,kjønn
Fylkestingsvalget 2019;Rogaland;H;Høyre;7;Terje Hetland;Sandnes;"";1998;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;8;Ragnvald Nilsen;Sandnes;"";1977;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;9;Anne Marie Lund;Sola;"";1996;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;10;Lisbeth Von Erpecom Vikse;Sandnes;"";1947;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;11;Lasse Anfinsen Fredheim;Haugesund;"";1996;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;12;Kristoffer Amdal;Strand;"";1954;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;13;Staale Grude Haaland;Time;"";1963;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;14;Kenneth Austrått;Sandnes;"";1987;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;15;Cille Ihle;Stavanger;"";1970;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;16;Sissel Hansen Tysse;Tysvær;"";1971;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;17;Arne Stapnes;Eigersund;"";1962;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;18;Gunn Dalen Håland;Hå;"";1969;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;19;Henry A. Tendenes;Gjesdal;"";1953;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;20;Randi Wisnæs;Karmøy;"";1972;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;21;Jarle Utne-Reitan;Haugesund;"";1969;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;22;Håvard Rørtveit;Vindafjord;"";1999;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;23;Helene Vo;Sandnes;"";1999;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;24;Jan Erik Tuen;Hå;"";1976;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;25;Benedikte Svendsen;Karmøy;"";1999;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;26;Hogne Skjerpe;Lund;"";1958;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;27;Signy Bråtveit;Finnøy;"";1950;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;28;Karl Stefan Afradi;Stavanger;"";1990;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;29;Nina Ve Sæbø;Karmøy;"";1961;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;30;Julie K. Nodland Vold;Stavanger;"";1980;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;31;Morten Landråk Asbjørnsen;Stavanger;"";1993;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;32;Ove Horpestad;Klepp;"";1971;Mann
Fylkestingsvalget 2019;Rogaland;H;Høyre;33;Liv Todnem;Gjesdal;"";1951;Kvinne
Fylkestingsvalget 2019;Rogaland;H;Høyre;34;Beate Bie;Stavanger;"";1979;Kvinne
